"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","46202","DRKN0190","Cuba","29/06/2026 04:16:00",,"0","0,09","30","Passive","Dimunition d'huile moteur","Appoint huile et démarrage du DG","Non","TRB1380328"
"2","46202","DRKN0191","Kitomesa","29/06/2026 08:29:54",,"0","0,01","25","Passive","Down pendant le changement de secteur","site à faible autonomie/Reconnexion de 3 batterie, au total 5/10 en fonction","Non","TRB1380408"
"3","46202","DRKN0190","Cuba","29/06/2026 10:33:54",,"0","0,07","25","Passive","Fuite refoulement fuel sur electrovanne pompe causant une prise d'air.","Purgage effectué, joint de bouche remplacé, circuit ré-étanchéifié.","Non","TRB1380462"
"4","46202","DRKN7642","Logec_2","29/06/2026 11:14:33",,"0","0","30","Passive","Poor autonomy","DG manually restarted","Non","TRB1380481"
"5","46202","DRKN0202","Mbanza Mpa","29/06/2026 13:20:28",,"0","0,09","25","Passive","surchauffe DG 20 KVA (fuite carter + défaut pré-bourrage)","BBU délesté pour alléger la charge. Site actuellement alimenté sur DG","Non","TRB1380540"
"6","46202","DRKN8052","Telecom_Sengo","29/06/2026 13:52:38",,"0,04","0,04","20","Passive","Arrêt Brusque du DG dû au Radiateur faulty","Radiateur en cours de remplacement","Non","TRB1380522"
"7","46202","DRKN2099","Kinshasa_Bunda","29/06/2026 14:52:38",,"0,05","0,25","25","Passive","Pompe mécanique Faulty, AVR faulty","//  Pompe mécanique remplacé et  execution Direct de l ' AVR site sous DG","Non","TRB1380549"
"8","46202","DRKN8066","Quartier_CPA","29/06/2026 15:24:13",,"0","0,03","30","Passive","1/5 Batterie Faulty","Batterie faulty déconnectée, Demarrage DG","Non","TRB1380601"
"9","46202","DRKN0253","Camping","29/06/2026 17:44:13",,"0","0,13","30","Passive","CB off dans la BBS Airtel Down","","Non","TRB1380667"
"10","46202","DRKN0117","Kimbualea 2","29/06/2026 18:55:13",,"0,07","0,05","30","Passive","Alarme Under Frequency due au diminution coolant au radiateur",".// Ajout coolant et demarrage DG","Non","TRB1380645"
"11","46202","DRKN8066","Quartier_CPA","29/06/2026 19:38:33",,"46202,9","0,08","25","Passive","Alarme Coolant Hight Temp to DG  ( plus d'investigation le matin pour connaitre la root cause ) .","Ajout coolant et démarrage du DG","Non","TRB1380713"
"12","46202","DRKN8178","New Matadi Mayo","29/06/2026 20:56:33",,"0,06","0,03","30","Passive","Insuffisances de modules ( 1/3 en bon état) ) .","Ajout de 3 modules et démarrage du DG","Non","TRB1380708"
"13","46202","DRKN2099","Kinshasa_Bunda","29/06/2026 21:31:33",,"0","0,02","25","Passive","Pompe mécanique Faulty, AVR faulty","//  Pompe mécanique remplacé et  execution Direct de l ' AVR site sous DG","Non","TRB1380760"
"14","46202","DRKN2099","Kinshasa_Bunda","29/06/2026 22:26:33",,"0","0,05","25","Passive","Pompe mécanique Faulty, AVR faulty","//  Pompe mécanique remplacé et  execution Direct de l ' AVR site sous DG","Non","TRB1380760"
"15","46202","DRKN0071","Sangamamba","29/06/2026 22:03:33",,"0,09","0,01","30","Passive","3/9 Faulty","Modules faulty retirés et démarrage du DG","Non","TRB1380723"
