"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","12-août-2026","DRKN7628","New_Matadi_Kibala_2","12/08/2026 06:54:30","12/08/2026 07:26:00","0,07","0,53","","Passive","DG high temp , le DG de 30 KVA n'arrive plus a supporté la Charge du site de 450 A (down instable)","ajout coolant et démarrage DG besoin d'un DG de 45 KVA","Non","TRB1403009"
"2","12-août-2026","DRKN0300","Ozone","12/08/2026 09:42:00","12/08/2026 11:31:00","0","1,82","","Passive","Airtel down (CB FAULTY)","CB Remplacé","Non","TRB1403137"
"3","12-août-2026","DRKN0191","Kitomesa","12/08/2026 13:24:57","12/08/2026 13:38:00","0","0,22","","Passive","Dysfonctionnement de bbs rev 10 ce qui fait que LVD lâche","Enclenchement du LVD","Non","TRB1403208"
"4","12-août-2026","DRKN7628","New_Matadi_Kibala_2","12/08/2026 13:46:53","12/08/2026 14:45:00","0","0,98","","Passive","DG high temp , le DG de 30 KVA n'arrive plus a supporté la Charge du site de 450 A (down instable)","ajout coolant et démarrage DG besoin d'un DG de 45 KVA","Non","TRB1403223"
"7","12-août-2026","DRKN0142","College Saint Ignace","12/08/2026 14:27:39","12/08/2026 16:35:00","1,17","2,13","","Passive","Déversement fuel au niveau du filtre a gasoil","filtre remplacé/ et ravitaillement","Oui","TRB1403207"
"8","12-août-2026","DRKN0286","Ngaliema","12/08/2026 15:59:53","12/08/2026 16:12:00","1,17","0,21","","Passive","Fuel Shortage","Refueled de 1000L","Oui","TRB1403279"
"9","12-août-2026","DRKN0221","Herady","12/08/2026 17:02:00","12/08/2026 17:24:00","0,53","0,37","","Passive","Instabilité GRID","Démarrage manuel du DG","Non","TRB1403321"
"10","12-août-2026","DRKN7628","New_Matadi_Kibala_2","12/08/2026 17:34:23","12/08/2026 18:22:00","0","0,8","","Passive","DG high temp , le DG de 30 KVA n'arrive plus a supporté la Charge du site de 450 A (down instable)","ajout coolant et démarrage DG ,DG de 45 KVA installation en cours","","TRB1403133"
"11","12-août-2026","DRKN8123","Station_Brikin","12/08/2026 11:06:00","12/08/2026 11:16:00","0","0,17","","Passive","tenant orange DOWN / CB DC box orange faulty","CB Remplacé","Non","TRB1403133"
"12","12-août-2026","DRKN0261","Punda","12/08/2026 21:14:00","12/08/2026 21:26:00","0","0,2","","Passive","Le DG de 30 kVA travaille à 79% de ses capacités ( presque overload ) , load de 20 kW","Délestage de 3/7 string de batterie et démarrage du DG","Non","TRB1403406"
"13","12-août-2026","DRKN0221","Herady","12/08/2026 22:18:00","13/08/2026 00:09:00","0","1,85","","Passive","CB Airtel de 100 A dans la DC Box  calciné ( Mauvaise qualité du CB )","CB de 100 A remplacé","Non","TRB1403424"
