"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","19-juin-2026","DRKN0202","Mbanza Mpa","19/06/2026 07:20:21","19/06/2026 08:07:00","0","0,78","15","Passive","Site à faible Autonomie.","Démarrage du DG","Non","TRB1375499"
"2","19-juin-2026","DRKN0253","Camping","19/06/2026 09:15:37","19/06/2026 10:25:00","2,69","1,17","25","Passive","Emergency stop comme alarme(Bouton arrét d'urgence activé)","Reset alarme et bouton désactivé","Non","TRB1375503"
"3","19-juin-2026","DRKN0286","Ngaliema","19/06/2026 10:46:28","19/06/2026 12:05:00","0","1,32","20","Passive","CB du DG declencher","Enclenchement","","TRB1375591"
"7","19-juin-2026","DRKN0292","Saint François","19/06/2026 15:21:00","19/06/2026 16:14:00","0","0,88","","","Radiateur bouché","Nettoyage du Radiateur et démarrage manuelle du DG","","TRB1375764"
"8","19-juin-2026","DRKN0202","Mbanza Mpa","19/06/2026 17:20:00","19/06/2026 19:00:00","0","1,68","25","","high temp Coolant","Ajout de coolant et démarrage du DG","","TRB1375825"
"9","19-juin-2026","DRKN0064","Sola","19/06/2026 19:43:39","19/06/2026 20:38:00","0","0,92","","","","","","TRB1375896"
"10","19-juin-2026","DRKN2037","Station_Ma_Campagne2","19/06/2026 21:23:21","19/06/2026 23:26:00","0","2,05","","","CB de la DC Box vodacom déclenché (switch off) suite à une surcharge du tenant","Enclenchement manuelle","","TRB1375908"
"11","19-juin-2026","DRKN0069","Bumba","19/06/2026 22:55:05","20/06/2026 00:04:00","0","1,15","","","alarme coolant hightemp causée par une Dimunition de liquide refroidissement","Ajout de coolant et démarrage du DG","","TRB1375913"
"13","19-juin-2026","DRKN0828","Météo_Erosion","19/06/2026 23:05:05","20/06/2026 02:08:00","0","3,06","","","Alarme Temp High et courroie coupée.","Ajout de liquide de refroidissement et remplacement de la courroie.","","TRB1375931"
"14","19-juin-2026","DRKN0249","Ngomba Kikusa","19/06/2026 21:18:00","20/06/2026 03:13:00","0","5,92","","","CB de la DC Box airtel déclenché (switch off) suite à une surcharge du tenant","Enclenchement manuelle","","TRB1375934"
