"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","23-juil.-2026","DRKN0753","Tshikapa Ngombe","23/07/2026 07:49:00","23/07/2026 08:01:00","0","0,2","25","Passive","site down pendant le changement de secteur Grid to DG( bacterie pas suffissanment charge 2 /9 module faulty )","demarrage du DG automatique","Non","TRB1392264"
"2","23-juil.-2026","DRKN0120","Ngomba Kikusa","23/07/2026 12:56:56","23/07/2026 13:08:00","0","0,2","30","Passive","Site down pendant le changement de secteur le  BBU ne charge pas correctement causé par le  retrait temporaire du Controleur le DG de 30 KVA n'arrive pas a supporté la charge du site qui atteint le 410 A","site sous grid","Non","TRB1392409"
"3","23-juil.-2026","DRKN2102","kinshasa-herady","23/07/2026 14:19:52","23/07/2026 14:39:00","1,29","0,32","20","Passive","high-temp due au  dysfonctionnnement capteur de temperature","reparation et redemarrage DG","Non","TRB1392421"
"5","23-juil.-2026","DRKN2099","Kinshasa_Bunda","23/07/2026 15:34:52","23/07/2026 17:37:00","0","2,04","","Passive","CB du tenant Airtel Off au niveau de DC Box, Airtel  Overloade, le load attaint jusqu'à 105 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1392486"
"6","23-juil.-2026","DRKN0252","Masangabila","23/07/2026 18:32:52","23/07/2026 18:40:00","0,82","0,13","30","Passive","DG 20 kWa sous pression (Overload)","Ajout coolant et demarrage","Non","TRB1392518"
"7","23-juil.-2026","DRKN7201","Lubwaku","23/07/2026 18:42:52","23/07/2026 18:56:00","0","0,23","30","Passive","CB du tenant Airtel Off au niveau de DC Box, Airtel  Overloade, le load attaint jusqu'à 107 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1392521"
"8","23-juil.-2026","DRKN6881","Kinsuka-Pecheur2","23/07/2026 19:17:52","23/07/2026 21:16:00","0,46","1,98","30","Passive","Fuel contaminé","prologement  de tuyau d'aspiration, chasse prise d'aire et demarrage DG","Non","TRB1392556"
"9","23-juil.-2026","DRKN2099","Kinshasa_Bunda","23/07/2026 19:24:00","23/07/2026 21:09:00","0","1,75","","Passive","CB du tenant Airtel Off au niveau de DC Box, Airtel  Overloade, le load atteint jusqu'à  A106 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1392565"
"10","23-juil.-2026","DRKN0202","Mbanza Mpa","23/07/2026 20:15:00","23/07/2026 22:02:00","0","1,78","25","Passive","CB du tenant orange Off au niveau de BBS, Orange Overloade, le load attaint jusqu'à 128 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1392591"
"11","23-juil.-2026","DRKN0753","Tshikapa Ngombe","23/07/2026 21:00:00","23/07/2026 21:15:00","0","0,25","30","Passive","CB du tenant Vodacom  Off au niveau de DC Box, Vodacom  Overloade, le load atteint jusqu'à  A132 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1392606"
"12","23-juil.-2026","DRKN2037","Station_Ma_Campagne2","23/07/2026 22:41:00","24/07/2026 06:29:00","0","7,81","","Passive","Acces issue ( Concession privée)","","Non","TRB1392653"
