"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","31-juil.-2026","DRKN0697","Ex. Maternité","31/07/2026 02:04:30","31/07/2026 05:27:00","4,54","3,38","20","Passive","l'alarme de Mains Over curent due  au  Grid qui ne fait que fonctionner deux modules sur 3;Tandis que sous le Genset tout est normal 3/3","Isolé le Grid momentanément.","Non","TRB1396459"
"2","31-juil.-2026","DRKN0190","Cuba","31/07/2026 02:14:11","31/07/2026 05:48:00","7,83","3,58","25","Passive","Batterie de démarrage dù à l'instabiliter grid","Demarrage DG avec la batterie de secours","Non","TRB1396400"
"3","31-juil.-2026","DRKN0071","Sangamamba","31/07/2026 08:39:00","31/07/2026 09:24:00","0,38","0,75","30","Passive","DG 30KVA Overload, le load atteint 315A, besoin d'un DG de 45Kva","Ajout coolant","Non","TRB1396575"
"4","31-juil.-2026","DRKN8048","Route_Sebo","31/07/2026 08:43:00","31/07/2026 09:50:00","0","1,12","30","Passive","Deux CB secondaires VODACOM de 32A Off à  dans la DC Box cause de la charge qui depasse","Enclenchés Manuellement, Remplacement en cours par un 63A","Non","TRB1396592"
"5","31-juil.-2026","DRKN8048","Route_Sebo","31/07/2026 10:34:00","31/07/2026 11:07:00","0","0,55","30","Passive","Deux CB secondaires VODACOM de 32A Off à  dans la DC Box cause de la charge qui depasse","Enclenchés Manuellement, Remplacement en cours par un 63A","Non","TRB1396592"
"6","31-juil.-2026","DRKN2116","Kinshasa_Musangu","31/07/2026 12:49:04","31/07/2026 12:53:00","0","0,08","30","Passive","Brulure du cable à l'entrée du CB Airtel","cable remplacé et CB remplacé","Non","TRB1396711"
"8","31-juil.-2026","DRKN6881","Kinsuka-Pecheur2","31/07/2026 17:16:00","31/07/2026 18:27:00","0,6","1,18","30","Passive","Présence d'eau dans le réservoir de carburant, remise en suspension lors du ravitaillement, ayant entraîné une contamination du circuit d'alimentation et une prise d'air","Purge du circuit de carburant effectuée, puis redémarrage du groupe électrogène","Non","TRB1396834"
"9","31-juil.-2026","DRKN0006","Kimbwala","31/07/2026 17:03:16","31/07/2026 18:00:00","0","0,95","30","Passive","Down due à l'installation d'une partie du DG","Site up avec l'ancien DG","Non","TRB1396840"
"10","31-juil.-2026","DRKN8442","Kin_Malueka_Nkotila","31/07/2026 18:24:16","31/07/2026 18:40:00","1,57","0,27","20","Passive","DG de 20 kVA overload","Retarit controleur , ajout coolant et démarrage du DG","Non","TRB1396836"
"11","31-juil.-2026","DRKN0202","Mbanza Mpa","31/07/2026 21:08:16","31/07/2026 22:02:00","0","0,9","20","Passive","CB du tenant orange Off au niveau de DC Box, Orange Overloade, le load attaint jusqu'à 121 A avec un CB de 100 A","","Non","TRB1396951"
"12","31-juil.-2026","DRKN0261","Punda","31/07/2026 21:20:16","31/07/2026 22:27:00","0,84","1,12","30","Passive","Insuffisance de modules .","Ajout de  3 modules   sur 6","Non","TRB1396931"
"13","31-juil.-2026","DRKN0202","Mbanza Mpa","31/07/2026 22:35:45","31/07/2026 23:11:00","0","0,6","25","Passive","CB du tenant orange Off au niveau de DC Box, Orange Overloade, le load attaint jusqu'à 129 A avec un CB de 100 A","","Non","TRB1396982"
"14","31-juil.-2026","DRKN8071","Camping_Luangomba","31/07/2026 22:50:45","31/07/2026 23:28:00","0","0,63","25","Passive","ALarme Hight Temp to DG due à un dimunition du liquide de refroidissement ( DG de 20 kVA overload )","Ajout coolant et demarrage DG","Non","TRB1396988"
"15","31-juil.-2026","DRKN0261","Punda","31/07/2026 23:44:16","01/08/2026 00:31:00","0","0,78","10","Passive","Insuffisance de modules .","Ajout de  3 modules   sur 6","Non","TRB1397019"
