"Site ID","Site Name","Incidents","Down Hours"
"DRKN0202","Mbanza Mpa","3","5,82"
"DRKN0253","Camping","1","5,18"
"DRKN0025","Ipn2","1","3,55"
"DRKN2265","Belle-vue-Airtel","1","1,67"
"DRKN0699","Boboliko","1","1,43"
"DRKN2246","Kinshasa_Lulendo","1","1,24"
"DRKN0249","Ngomba Kikusa","1","0,97"
"DRKN2139","Nguba","1","0,97"
"DRKN0206","Mawana","1","0,87"
"DRKN6883","Lacolline2","1","0,87"
"DRKN7181","Malueka2","1","0,6"
"DRKN0118","Av Boboliko","1","0,18"
"DRKN0191","Kitomesa","1","0,18"
