"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","13-août-2026","DRKN2102","Kinshasa_Herady","13/08/2026 05:39:00","13/08/2026 06:04:00","3,17","0,42","","Passive","Fuel Shortage ( Zone rouge )","Appoint de 20 L","Oui","TRB1403507"
"2","13-août-2026","DRKN2102","Kinshasa_Herady","13/08/2026 06:34:00","14/08/2026 08:04:00","0","1,5","","Passive","Aspiration de la pate du fond du cuve dans le circuit fuel","Nettoyage du circuit fuel et démarrage du DG","Non","TRB1403574"
"3","13-août-2026","DRKN2102","Kinshasa_Herady","13/08/2026 08:24:00","14/08/2026 08:44:00","0","0,33","","Passive","Aspiration de la pate du fond du cuve dans le circuit fuel ( changement de secteur)","Nettoyage du circuit fuel et démarrage du DG","Non","TRB1403574"
"4","13-août-2026","DRKN2102","Kinshasa_Herady","13/08/2026 10:15:00","13/08/2026 11:32:00","0,05","1,28","","Passive","Circuit fuel bouché","Nettoyage du circuit fuel et démarrage du DG","Non","TRB1403684"
"7","13-août-2026","DRKN8048","Route_Sebo","13/08/2026 11:00:00","13/08/2026 11:36:00","0","0,6","","Passive","CB orange off dans la Dc box à cause de la surcharge","Enclenchement manuel du CB","Non","TRB1403709"
"8","13-août-2026","DRKN0141","Upn / Niwa","13/08/2026 11:00:00","13/08/2026 11:41:00","1,33","0,68","","Passive","gave swicth faulty","By pass de la consommation","Non","TRB1403668"
"9","13-août-2026","DRKN2156","Telecom","13/08/2026 13:47:00","13/08/2026 14:40:00","1,62","0,88","","","Courroie d'alternateur de charge faulty","Courroie remplacée et démarrage du DG","Non","TRB1403748"
"","13-août-2026","DRKN0205","Sanga Mamba","13/08/2026 19:12:00","13/08/2026 22:22:00","0","3,17","20","Passive","le DG n'a pas démarrer pendant le changement de secteur causé par l'instabilité grid qui a décharger BBU","Grid isolé Provisoirement et Démarrage DG","Non","TRB1404013"
"10","13-août-2026","DRKN8147","Malueka_Nkotila","13/08/2026 20:47:07","13/08/2026 23:17:00","0","2,51","","Passive","Airtel down CB swich off tenant  Overload 146 A","CB switch off","Non","TRB1404015"
"11","13-août-2026","DRKN0205","Sanga Mamba","13/08/2026 22:56:00","13/08/2026 23:38:00","0","0,71","","Passive","DG 20 KVA ne supporte pas la charge du site La load atteint le 200 A","Site UP by Grid","Non","TRB1404075"
