"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","27-juil.-2026","DRKN0047","Place Commerciale","27/07/2026 08:41:33","27/07/2026 10:08:00","6,18","1,45","30","Passive","Fuel Shortage","Ravitaillement de 1000L","Non","TRB1394207"
"2","27-juil.-2026","DRKN8442","Kin_Malueka_Nkotila","27/07/2026 06:41:05","27/07/2026 09:35:00","0","2,9","30","Passive","Insufiffisance de modules (3/6 faulty) et DG 20KVA Overload","Ajout d'un module et délestage de 1/4 batteries","Non","TRB1394262"
"3","27-juil.-2026","DRKN0069","Bumba","27/07/2026 10:34:00","27/07/2026 13:56:00","1,57","3,37","30","Passive","Fuel contaminé","Drainage du DG ,  Ravitaillement 715l site sous DG","Non","TRB1394318"
"4","27-juil.-2026","DRKN0202","Mbanza Mpa","27/07/2026 10:22:50","27/07/2026 10:51:00","0,2","0,47","25","Passive","Alarme Emergency Stop","Bouton Enclenché Manueleement et DG remis en auto","Non","TRB1394328"
"5","27-juil.-2026","DRKN8071","Camping_Luangomba","27/07/2026 13:12:46","27/07/2026 13:23:00","0","0,19","25","Passive","CB Switch off on DC BOX, Vodacom Overload","Enclenché","Non","TRB1394444"
"6","27-juil.-2026","DRKN0216","Bamboma","27/07/2026 13:32:00","27/07/2026 13:46:00","0","0,24","25","Passive","CB Switch off on DC BOX, Airtel Overload 104A","Enclenché","Non","TRB1394454"
"7","27-juil.-2026","DRKN0120","Ngomba Kikusa","27/07/2026 16:08:08","27/07/2026 17:54:00","0","1,77","25","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 95 A avec un CB de 100 A","Enclenché","Non","TRB1394528"
"8","27-juil.-2026","DRKN0699","Boboliko","27/07/2026 19:05:08","27/07/2026 19:40:00","0","0,58","30","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 115 A avec un CB de 125 A","Enclenché","Non","TRB1394610"
"9","27-juil.-2026","DRKN0202","Mbanza Mpa","27/07/2026 19:28:00","27/07/2026 21:07:00","0","1,66","25","Passive","CB du tenant Orange  Off au niveau de DC Box, Orange Overloade, le load attaint jusqu'à 113 A avec un CB de 100 A","Enclenché","Non","TRB1394622"
"10","27-juil.-2026","DRKN0699","Boboliko","27/07/2026 19:56:00","27/07/2026 22:47:00","0","2,85","30","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 115 A avec un CB de 125 A","","Non","TRB1394610"
"11","27-juil.-2026","DRKN7453","Cite Pumbu","27/07/2026 20:43:00","27/07/2026 21:48:00","0","1,08","20","Passive","CB du tenant Airtel Off au niveau de DC Box, Airtel Overloade, le load attaint jusqu'à 100 A avec un CB de 100 A","Enclenché","Non","TRB1394648"
"12","27-juil.-2026","DRKN8442","Kin_Malueka_Nkotila","27/07/2026 21:18:00","27/07/2026 21:55:00","0","0,62","","Passive","DG 20 kVa Overload","Délesrage de 2/6 strings de batterie Site sous Grid","Non","TRB1394656"
"13","27-juil.-2026","DRKN0097","St Philippe","27/07/2026 22:12:00","27/07/2026 23:25:00","0","1,22","","Passive","Pompe à eau Faulty  (Zone Rouge)","Site UP by Grid","Non","TRB1394605"
