"Site ID","Site Name","Incidents","Down Hours"
"DRKN0202","Mbanza Mpa","2","10,87"
"DRKN0069","Bumba","2","4,46"
"DRKN0125","Maman Mobutu","1","3,18"
"DRKN7181","Malueka2","1","2,28"
"DRKN8264","Mafema_MUV","1","1,48"
"DRKN0697","Ex. Maternité","2","1,24"
"DRKN2164","Malueka","1","1,22"
"DRKN8442","Kin_Malueka_Nkotila","1","1,08"
"DRKN0203","Mazal","1","0,87"
"DRKN2246","Kinshasa_Lulendo","1","0,48"
"DRKN2194","IPN-Marine","1","0,47"
"DRKN8053","OBMK_Meubles","1","0,22"
"DRKN0097","St Philippe","1","0,12"
