"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","16-juil.-2026","DRKN0117","Kimbualea 2","16/07/2026 06:31:00","16/07/2026 08:13:00","0","1,72","10","Passive","Arret Brusque du DG causé par Un disfonctionnement de la partie thermique","Remise en service du second DG hs après revision","Non","TRB1388668"
"2","16-juil.-2026","DRKN0117","Kimbualea 2","16/07/2026 11:10:16","16/07/2026 12:46:00","0","1,6","","Passive","Arret Brusque du second DG installé sur site causé par le chauffage de ce dernier","Repos du DG, Ajout coolant et démarrage du DG","Non","TRB1388779"
"3","16-juil.-2026","DRKN0753","Tshikapa Ngombe","16/07/2026 10:09:16","16/07/2026 11:22:00","0","1,22","","Passive","Perte des valeurs du CB de vodacom dans la DC box ( Vodacom overload)","Enclenchement manuel du CB","Non","TRB1388750"
"4","16-juil.-2026","DRKN0117","Kimbualea 2","16/07/2026 14:02:16","16/07/2026 14:21:00","0","0,32","","Passive","Arret Brusque du second DG installé sur site causé par le chauffage de ce dernier","Repos du DG, Ajout coolant et démarrage du DG","Non","TRB1388779"
"5","16-juil.-2026","DRKN0245","Kwango","16/07/2026 14:20:00","16/07/2026 16:32:00","0","2,2","","Passive","Désserrage du CB Africel dans la DC Box","Renforcement du serrage du CB","Non","TRB1388874"
"6","16-juil.-2026","DRKN0198","Avenue Tourisme","16/07/2026 16:51:00","16/07/2026 17:07:00","2","0,27","","Passive","Batterie de démarrage déchargée due au chargeur statique faulty","Démarrage avec une batterie de secours","Non","TRB1388875"
"7","16-juil.-2026","DRKN0195","Kasa Vubu","16/07/2026 17:07:00","16/07/2026 17:38:00","1,87","0,53","","Passive","Disjoncteur AC de 63A Denclenché","Enclenchement manuellement,","Non","TRB1388900"
"8","16-juil.-2026","DRKN2220","Ozone","16/07/2026 17:53:53","16/07/2026 19:40:00","4,33","1,78","25","Passive","AVR faulty","Excitation Direct et Démarrage DG","Non","TRB1388982"
"9","16-juil.-2026","DRKN2081","Kinshasa_Kisiama","16/07/2026 21:45:58","16/07/2026 23:53:00","2,73","2,13","","Passive","hybride fail","DG laissé en mode manuelle","Non","TRB1389046"
"10","16-juil.-2026","DRKN8147","Malueka_Nkotila","16/07/2026 21:30:04","16/07/2026 22:54:00","0","1,4","","Passive","CB BBS  switch off tenant Airtel Overloader la load atteint le  130 A","CB Enclenchement manuellement,","Non","TRB1389053"
"11","16-juil.-2026","DRKN8071","Camping_Luangomba","16/07/2026 23:05:16","16/07/2026 23:16:00","0,83","0,19","","Passive","Site down pendant le changement  de secteur site a faible autonomie (1 batterie BBU bloqué SUR 4 et  3 Module faulty sur 6) /","Site Up by GRID","Non","TRB1389073"
