"Site ID","Site Name","Incidents","Down Hours"
"DRKN2139","Nguba","1","5,76"
"DRKN0253","Camping","1","3,82"
"DRKN2269","CS-Mafema3_KR","2","3,76"
"DRKN8147","Malueka_Nkotila","1","3,41"
"DRKN0221","Herady","1","2,82"
"DRKN8068","Cimetiere_Kinsuka","1","2,77"
"DRKN0202","Mbanza Mpa","2","2,7"
"DRKN0249","Ngomba Kikusa","1","2,48"
"DRKN8034","Camp_Luka3","1","1,7"
"DRKN0216","Bamboma","1","1,67"
"DRKN0125","Maman Mobutu","1","1,57"
"DRKN0071","Sangamamba","1","1,47"
"DRKN7235","Kin_CS_Mbudi","1","0,46"
"DRKN0006","Kimbwala","1","0,21"
"DRKN0697","Ex. Maternité","1","0,12"
