"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","30-juin-2026","DRKN2099","Kinshasa_Bunda","30/06/2026 06:27:32","30/06/2026 08:36:00","0,22","2,16","30","Passive","alternateur de charge faulty","baterie de secours","Non","TRB1380876"
"2","30-juin-2026","DRKN2099","Kinshasa_Bunda","30/06/2026 10:34:00","30/06/2026 14:09:00","0","3,58","","Passive","alternateur de charge faulty","alternateur de remplace","Non","TRB1380981"
"3","30-juin-2026","DRKN0216","Bamboma","30/06/2026 11:43:23","30/06/2026 13:08:00","1,13","1,42","30","Passive","Un déversement de fuel a été constaté sur le site","site up by grid","Non","TRB1380998"
"4","30-juin-2026","DRKN0216","Bamboma","30/06/2026 13:49:43","30/06/2026 14:16:00","0,32","0,45","","Passive","instabilité grid 1 phase sur 3 disponible","site sous grid","Non","TRB1381049"
"5","30-juin-2026","DRKN0286","Ngaliema","30/06/2026 11:51:00","30/06/2026 16:09:00","0","4,31","","Passive","CB Vodacom de 100A off dans la DC box( Tenant overload)","Enclechement manuel du CB","Non","TRB1381003"
"6","30-juin-2026","DRKN0202","Mbanza Mpa","30/06/2026 15:08:00","30/06/2026 16:34:00","0","1,44","","Passive","High temperature due a la dimunition de liquid de refroidissement","Coolant added and DG  started","Non","TRB1381091"
"7","30-juin-2026","DRKN8036","Camping_Pascalin","30/06/2026 15:20:00","30/06/2026 16:29:00","0","1,15","","Passive","High temperature due a la dimunition de liquid de refroidissement","Coolant added and DG  started","Non","TRB1381106"
"8","30-juin-2026","DRKN0202","Mbanza Mpa","30/06/2026 18:14:00","30/06/2026 18:39:00","0","0,43","","Passive","Changement de secteur ( GRID vers DG ), DG de 20 kVA overlaod , 300 A pour 6 modules .","3 /8 strings de batterie délestés","Non","TRB1381177"
"9","30-juin-2026","DRKN0216","Bamboma","30/06/2026 19:12:39","30/06/2026 20:11:00","0","0,98","25","Passive","Fuite de carburant au niveau des joints du réservoir","Prise en charge extérieur de 25 L","Non","TRB1381187"
"10","30-juin-2026","DRKN0697","Ex. Maternité","30/06/2026 19:39:00","30/06/2026 22:08:00","0","2,49","30","Passive","3/9 Modules missing","Reset","","TRB1381208"
"11","30-juin-2026","DRKN0216","Bamboma","30/06/2026 22:14:28","30/06/2026 23:26:00","0,83","1,2","15","Passive","Fuite de carburant au niveau des joints du réservoir","Prise en charge extérieur de 25 L","","TRB1381245"
"12","30-juin-2026","DRKN0206","Mawana","30/06/2026 22:14:28","01/07/2026 00:09:00","0,33","1,92","30","Passive","CB Off, Airtel Overload dans la DC Box","Enclechement manuel du CB","","TRB1381276"
