"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","08-août-2026","DRKN6826","Camp-CPA_KR","08/08/2026 00:40:55","08/08/2026 00:52:00","2,37","0,19","30","Passive","Un Module faulty","Module Remplacé","Non","TRB1400726"
"2","08-août-2026","DRKN2220","Ozone","08/08/2026 04:15:57","08/08/2026 05:34:00","3,59","1,31","30","Passive","Cool higth temps suite à la diminution du liquide de refroidissement","ajout  liquide de refroidissement et demarre le DG","Non","TRB1400788"
"3","08-août-2026","DRKN0006","Kimbwala","08/08/2026 16:44:57","08/08/2026 18:12:00","0","1,45","25","Passive","CB Off dans la bbs, Vodacom Overload 140A","Enclechement manuel du CB","Non","TRB1401095"
"4","08-août-2026","DRKN2141","Kin_Masangambila","08/08/2026 16:52:57","08/08/2026 18:13:00","6,8","1,35","0","Passive","Finition du  remontage et installation du nouveau DG de 30 kVA .","","Non","TRB1400986"
"5","08-août-2026","DRKN8454","New Okapi","08/08/2026 17:39:57","08/08/2026 18:16:00","0","0,62","20","Passive","Contrôleur  figée","Contrôleur  reset","Non","TRB1401119"
"6","08-août-2026","DRKN8079","EP_Mobokoli","08/08/2026 17:29:57","08/08/2026 18:54:00","0","1,42","40","Passive","CB Off dans la DC Box, Airtel Overload 120A","Enclechement manuel du CB","Non","TRB1401113"
"7","08-août-2026","DRKN2141","Kin_Masangambila","08/08/2026 18:26:57","08/08/2026 18:46:00","0","0,33","10","Passive","poire faulty ( poire remplacée ) .  Le radiateur du DG de 30 kVA est aussi défectueux","poire remplacée  Remplacée et démarrage DG","Non","TRB1401133"
"8","08-août-2026","DRKN0006","Kimbwala","08/08/2026 18:54:57","08/08/2026 21:10:00","0","2,27","25","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 115 A avec un CB de 125 A","Enclechement manuel du CB","Non","TRB1401139"
"9","08-août-2026","DRKN2141","Kin_Masangambila","08/08/2026 19:24:57","08/08/2026 19:36:00","0","0,2","10","Passive","poire faulty ( poire remplacée ) .  Le radiateur du DG de 30 kVA est aussi défectueux","poire remplacée  Remplacée et démarrage DG","Non","TRB1401166"
"10","08-août-2026","DRKN2141","Kin_Masangambila","08/08/2026 20:04:57","08/08/2026 20:49:00","0","0,75","15","Passive","poire faulty ( poire remplacée ) .  Le radiateur du DG de 30 kVA est aussi défectueux","poire remplacée  Remplacée et démarrage DG","Non","TRB1401204"
"11","08-août-2026","DRKN0753","Tshikapa Ngombe","08/08/2026 21:06:57","08/08/2026 22:06:00","0","1","30","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 130 A avec un CB de 125 A","Enclechement manuel du CB","","TRB1401194"
