"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","17-août-2026","DRKN8406","Kin_Lutendele_Kaba","17/08/2026 04:30:00","17/08/2026 06:20:00","1,17","1,83","25","Passive","Zone Rouge  , Batterie de démarrage déchargée ( Alternateur de charge faulty )","Usage batterie de secours et démarrage du DG","Non","TRB1405668"
"2","17-août-2026","DRKN0067","Eucalyptus1","17/08/2026 06:21:00","17/08/2026 07:07:00","2,02","0,77","30","Passive","Fuel Shortage","/Prise en charge avec un bidon de 25L en attendant le ravitaillement","Oui","TRB1405687"
"3","17-août-2026","DRKN0067","Eucalyptus1","17/08/2026 09:40:40","17/08/2026 09:55:00","0","0,25","15","Passive","down pendant le ravitaillement","ravitaille 986L","Non","TRB1405805"
"4","17-août-2026","DRKN0828","Météo_Erosion","17/08/2026 10:32:09","17/08/2026 10:54:00","1,2","0,37","30","Passive","Le générateur est overloadé, le DG de 20Kva atteint 22 kW, dimunition d'huile causé par une fuite d'huile au niveau du bourrage avant","Ajout de 4L d'huile et démarrage du DG","Non","TRB1405797"
"7","17-août-2026","DRKN0828","Météo_Erosion","17/08/2026 13:28:18","17/08/2026 14:26:00","0","0,97","30","Passive","tenant vodacom overloade","enclenchement","Non","TRB1405914"
"8","17-août-2026","DRKN0245","Kwango","17/08/2026 13:18:00","17/08/2026 14:17:00","0","0,98","30","Passive","africel overloade CB swicth off","CB switch on site sous DG","Non","TRB1405912"
"9","17-août-2026","DRKN2193","Mitendi","17/08/2026 14:11:37","17/08/2026 15:42:00","1,35","1,52","30","Passive","pompe d'injection bouchée","Débouchage de la pompe d'injection et demarrage du DG","Non","TRB1405899"
"10","17-août-2026","DRKN0067","Eucalyptus1","17/08/2026 17:32:13","17/08/2026 19:11:00","0","1,66","30","Passive","Dijoncteur BBU Faulty","Dijoncteur remplacé","","TRB1405976"
"11","17-août-2026","DRKN8406","Kin_Lutendele_Kaba","17/08/2026 20:24:48","17/08/2026 21:37:00","0","1,22","30","Passive","CB Switch Off dans la DC Box, Airtel overload 98A","enclenché manuelement","","TRB1406120"
"12","17-août-2026","DRKN0067","Eucalyptus1","17/08/2026 21:05:19","17/08/2026 23:59:00","0","2,91","30","Passive","CB Switch Off dans la BBS, Vodacom overload 182A","enclenché manuelement","","TRB1406152"
"13","17-août-2026","DRKN8294","Camp CPA3","17/08/2026 22:35:19","17/08/2026 23:20:00","1,42","0,75","30","Passive","Mauvaise connexion du fil de l'electrovanne","Fil réconnecté et Demarrage DG","","TRB1406143"
"14","17-août-2026","DRKN0249","Ngomba Kikusa","17/08/2026 20:15:48","18/08/2026 01:09:00","0","4,9","30","Passive","CB Switch Off dans la DC Box, Vodacom overload 95A","enclenché manuelement","","TRB1406121"
"15","17-août-2026","DRKN0192","Bondo","17/08/2026 22:00:00","18/08/2026 01:50:00","0","3,84","30","Passive","CB BBS Orange swicht off tenant Orange Overload","enclenché manuelement","","TRB1406181"
