"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","11-août-2026","DRKN2269","CS-Mafema3_KR","11/08/2026 09:01:30","11/08/2026 10:22:00","1,78","1,35","25","Passive","Fuel Shortage","Appoint 5l","Oui","TRB1402431"
"2","11-août-2026","DRKN2269","CS-Mafema3_KR","11/08/2026 10:29:30","11/08/2026 11:26:00","0","0,95","25","Passive","Fuel Shortage","Ravitaillement de 1000l et démarrge DG","Oui","TRB1402515"
"3","11-août-2026","DRKN0286","Ngaliema","11/08/2026 10:40:30","11/08/2026 10:41:00","0","0,02","30","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 100 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1402523"
"4","11-août-2026","DRKN0101","Ep4 Makelele","11/08/2026 12:03:30","11/08/2026 12:16:00","1,45","0,22","30","Passive","Hybrid failed","reconfiguraton de système hybride","Non","TRB1402516"
"7","11-août-2026","DRKN2141","Kin_Masangambila","11/08/2026 12:44:30","11/08/2026 13:32:00","0","0,8","25","Passive","DG de 20 kVA overload ( En attente de l'installation du DG back-up de 30 kVA qui est déja sur site )","","Non","TRB1402583"
"8","11-août-2026","DRKN8079","EP_Mobokoli","11/08/2026 12:55:30","11/08/2026 15:00:00","0","2,08","25","Passive","CB du tenant Airtel Off au niveau de DC Box, Airtel Overloade, le load attaint jusqu'à 100 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1402590"
"9","11-août-2026","DRKN0006","Kimbwala","11/08/2026 14:09:30","11/08/2026 14:29:00","0","0,33","10","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 113 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1402623"
"10","11-août-2026","DRKN8284","Mbudi-Conseiller","11/08/2026 16:26:30","11/08/2026 16:46:00","0,6","0,33","25","Passive","Prise de l'eau dans le tank du fuel . Réajustement du tuyau d'aspiration fuel et démarrage du DG","Le site a été ravitaillé  620 L  .","Non","TRB1402681"
"11","11-août-2026","DRKN0006","Kimbwala","11/08/2026 17:17:30",,"0","6,04","","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 113 A avec un CB de 100 A","","Oui","TRB1402733"
"12","11-août-2026","DRKN0067","Eucalyptus1","11/08/2026 18:36:30","11/08/2026 18:54:00","0","0,3","","Passive","Fuel shortage","Tuyau d'aspiration ralongé purge et demarrage DG (en attente de ravitaillment ETA 40min","Oui","TRB1402752"
"13","11-août-2026","DRKN2168","Mbudi","11/08/2026 19:04:30","11/08/2026 19:53:00","0","0,82","","Passive","fuel shortage","ravitaillement de 700l et démarrge DG","",""
"14","11-août-2026","DRKN2134","Masikita","11/08/2026 21:13:30","11/08/2026 21:23:00","1","0,17","","Passive","Diminution Coolant constatée suite au retrait du bouchon du radiateur","Ajout coolant et demarrage manuelle du DG","Non","TRB1402801"
"15","11-août-2026","DRKN0191","Kitomesa","11/08/2026 22:23:30",,"20,5","0","","Passive","insecurity zone at the night","","Non","TRB1402822"
