"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","03-août-2026","DRKN0171","Kimwenza Gare","03/08/2026 01:51:16","03/08/2026 02:44:00","0,04","0,88","30","Passive","Kimwenza gare L’hybride a échoué, entraînant l’arrêt du DG. La cause identifiée : Deepsea était en mode Stop","Le système a été remis en mode Auto.","Non","TRB1398008"
"2","03-août-2026","DRKN8442","Kin_Malueka_Nkotila","03/08/2026 08:04:16","03/08/2026 08:15:00","0","0,18","10","Passive","le DG de 20 kVA est overload . Le site coupe à chaque changement de secteur car , une grande partie des BBU ont été délestées .","Une équipe est sur place pour le swapper avec celui d'un 30 kVA .","Non","TRB1398128"
"3","03-août-2026","DRKN8053","OBMK Meubles","03/08/2026 08:38:16","03/08/2026 09:06:00","0,04","0,47","20","Passive","Pompe Mecanique Faulty","Nettoyage de Pompe mécanique et démarrage DG","Non","TRB1398135"
"4","03-août-2026","DRKN0202","Mbanza Mpa","03/08/2026 10:14:16","03/08/2026 12:11:00","0","1,95","25","Passive","CB du tenant orange Off au niveau de la BBS, Orange Overloade, le load attaint jusqu'à 116 A avec un CB de 125 A","/// Enclechement manuel du CB","Non","TRB1398175"
"5","03-août-2026","DRKN0203","Mazal","03/08/2026 10:26:16","03/08/2026 11:11:00","0","0,75","25","Passive","DG laissé en mode manuel par un inconnu ( le site n'a pas basculé , GRID vers DG )","DG en mode automatique et démarrage","Non","TRB1398181"
"6","03-août-2026","DRKN8442","Kin_Malueka_Nkotila","03/08/2026 14:15:16","03/08/2026 14:26:00","0","0,18","10","Passive","le DG de 20 kVA est overload . Le site coupe à chaque changement de secteur car , une grande partie des BBU ont été délestées .","","Non","TRB1398292"
"7","03-août-2026","DRKN0252","Masanga Mbila","03/08/2026 18:59:32","03/08/2026 19:41:00","1,7","0,71","35","Passive","Diminution d'huile Motor dù à la Fuite au niveau du carter","Ajout 4litres d'huile","Non","TRB1398404"
"9","03-août-2026","DRKN8442","Kin_Malueka_Nkotila","03/08/2026 20:25:04","03/08/2026 20:37:00","0","0,21","","Passive","le DG de 20 kVA est overload . Le site coupe à chaque changement de secteur car , une grande partie des BBU ont été délestées .","","","TRB1398475"
"10","03-août-2026","DRKN0697","Ex. Maternité","03/08/2026 20:12:04","03/08/2026 22:44:00","0","2,54","20","Passive","Orange Overloade, le load atteint jusqu'à 130 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1398475"
"11","03-août-2026","DRKN2082","Kinshasa_Pecheur","03/08/2026 22:23:00","03/08/2026 23:38:00","2,31","1,26","20","Passive","Fuel  Shortage","Appoint 175litres","Oui","TRB1398495"
"12","03-août-2026","DRKN0202","Mbanza Mpa","03/08/2026 21:41:00","03/08/2026 23:20:00","0","1,66","25","Passive","Tenant Overload calibre 100A Load 125A","Enclechement manuel du CB","Non","TRB1398500"
