"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","25-juil.-2026","DRKN2099","Kinshasa_Bunda","25/06/2026 09:06:35","25/06/2026 09:19:00","0","0,22","25","Passive","Site à faible autonomie Down Lors du basculement","","Non","TRB1393332"
"2","25-juil.-2026","DRKN0192","Bondo","25/06/2026 12:59:00","25/06/2026 13:19:00","0","0,34","30","Passive","Température élevée au niveau de la BBS due à un dysfonctionnement du Fan du redresseur","Reset et demarrage manuelle du DG","Non","TRB1393434"
"3","25-juil.-2026","DRKN0192","Bondo","25/06/2026 15:07:35","25/06/2026 15:16:00","0","0,14","","Passive","Température élevée au niveau de la BBS due à un dysfonctionnement du Fan du redresseur","Reset et demarrage manuelle du DG","Non","TRB1393434"
"4","25-juil.-2026","DRKN0142","College Saint Ignace","25/06/2026 15:07:00","25/06/2026 15:51:00","0","0,73","20","Passive","Instabilité du Grid","Demarrage du générateur","Non","TRB1393480"
"5","25-juil.-2026","DRKN0006","Kimbwala","25/06/2026 17:23:22","25/06/2026 20:28:00","0,89","3,08","25","Passive","Hightemps causé par la diminution du liquide de refroidissement (le DG de 30KVA ne supporte plus la charge du site","Ajout de coolant et démarrage du DG","Non","TRB1393527"
"6","25-juil.-2026","DRKN8264","Mafema_MUV","25/06/2026 18:05:01","25/06/2026 19:50:00","0,58","1,76","25","Passive","2/6modules faulty","1 module remplacé","Non","TRB1393548"
"7","25-juil.-2026","DRKN0060","Station Ma Campagne","25/06/2026 20:11:01","25/06/2026 20:31:00","1,35","0,33","30","Passive","circuit fuel bouché","nettoyage du circuit et remplacement du filtre à gasoil, DG redémarrer","Non","TRB1393574"
"8","25-juil.-2026","DRKN0074","Sans Fil","25/06/2026 18:09:01","25/06/2026 19:05:00","0","0,95","30","Passive","CB Off, Vodacom Overload 112A","Enclenché","Non","TRB1393555"
"9","25-juil.-2026","DRKN0202","Mbanza Mpa","25/06/2026 20:53:01","25/06/2026 22:25:00","0","1,54","20","Passive","CB Off dans DC BOX, Orange Overload 112A","Enclenché","","TRB1393618"
"10","25-juil.-2026","DRKN0253","Camping","25/06/2026 20:44:01","25/06/2026 22:56:00","0","2,21","20","Passive","CB Off, Vodacom Overload 124A","Enclenché","","TRB1393614"
"11","25-juil.-2026","DRKN0753","Tshikapa Ngombe","25/06/2026 20:19:01","25/06/2026 22:01:00","0","1,7","30","Passive","CB Off, Vodacom Overload 129A","Enclenché","","TRB1393604"
"12","25-juil.-2026","DRKN7453","Cite Pumbu","25/06/2026 21:19:01","25/06/2026 22:47:00","0","1,48","30","Passive","CB Off, AIRTEL Overload 124A","Enclenché","","TRB1393634"
"13","25-juil.-2026","DRKN0006","Kimbwala","25/06/2026 20:49:33","25/06/2026 22:48:00","0","1,99","25","Passive","CB Off, Vodacom Overload 126A","Enclenché","","TRB1393631"
"14","25-juil.-2026","DRKN7180","CS-Mafema3","25/06/2026 22:38:10","25/06/2026 23:10:00","0,46","0,54","25","Passive","High temp causé par DG de 20KVA Overload, la charge du site 222A","Ajout de 5L coolant et démarrage du DG","","TRB1393652"
